x	GeneID
MIR1302-2HG	107985730
FAM138A	645520
OR4F5	79501
AL627309.1	0
AL627309.3	0
AL627309.2	0
AL627309.4	0
AL732372.1	0
OR4F29	729759
AC114498.1	0
OR4F16	81399
AL669831.2	0
AL669831.5	0
FAM87B	400728
LINC00115	79854
FAM41C	284593
AL645608.7	0
AL645608.3	0
AL645608.5	0
AL645608.1	0
SAMD11	148398
NOC2L	26155
KLHL17	339451
PLEKHN1	84069
PERM1	84808
AL645608.8	0
HES4	57801
ISG15	9636
AL645608.2	0
AGRN	375790
AL645608.9	0
RNF223	401934
C1orf159	54991
LINC01342	254099
AL390719.2	0
TTLL10-AS1	100506376
TTLL10	254173
TNFRSF18	8784
TNFRSF4	7293
SDF4	51150
B3GALT6	126792
C1QTNF12	388581
AL162741.1	0
UBE2J2	118424
LINC01786	101928895
SCNN1D	6339
ACAP3	116983
PUSL1	126789
INTS11	54973
CPTP	80772
TAS1R3	83756
DVL1	1855
MXRA8	54587
AURKAIP1	54998
CCNL2	81669
MRPL20	55052
AL391244.3	0
ANKRD65	441869
AL391244.2	0
TMEM88B	643965
LINC01770	102724312
VWA1	64856
ATAD3C	219293
ATAD3B	83858
ATAD3A	55210
TMEM240	339453
SSU72	29101
AL645728.1	0
FNDC10	643988
AL691432.2	0
MIB2	142678
MMP23B	8510
CDK11B	984
FO704657.1	0
SLC35E2B	728661
CDK11A	728642
SLC35E2A	9906
NADK	65220
GNB1	2782
AL109917.1	0
CALML6	163688
TMEM52	339456
CFAP74	85452
AL391845.2	0
GABRD	2563
AL391845.1	0
PRKCZ	5590
AL590822.2	0
PRKCZ-AS1	100506504
FAAP20	199990
AL590822.1	0
SKI	6497
MORN1	79906
RER1	11079
PEX10	5192
PLCH2	9651
AL139246.1	0
AL139246.4	0
PANK4	55229
HES5	388585
AL139246.5	0
TNFRSF14-AS1	115110
TNFRSF14	8764
AL139246.3	0
FAM213B	0
MMEL1	79258
AL831784.1	0
TTC34	100287898
AC242022.1	0
AL592464.2	0
AL592464.1	0
AL589702.1	0
ACTRT2	140625
LINC00982	440556
PRDM16	63976
AL008733.1	0
AL590438.1	0
ARHGEF16	27237
AL512413.1	0
MEGF6	1953
AL513320.1	0
TPRG1L	127262
WRAP73	49856
TP73	7161
AL136528.1	0
AL136528.2	0
CCDC27	148870
SMIM1	388588
LRRC47	57470
AL365330.1	0
CEP104	9731
DFFB	1677
C1orf174	339448
LINC01134	100133612
LINC01346	728716
LINC01345	105376672
AL805961.1	0
AL805961.2	0
LINC01777	284661
AL355602.1	0
Z98747.1	0
LINC01646	105376679
AJAP1	55966
BX005132.2	0
BX005132.1	0
AL691497.1	0
AL139823.1	0
Z98259.3	0
Z98259.2	0
Z98259.1	0
AL365255.1	0
NPHP4	261734
KCNAB2	8514
CHD5	26038
RPL22	6146
AL031847.1	0
RNF207	388591
ICMT	23463
LINC00337	148645
HES3	390992
GPR153	387509
ACOT7	11332
AL031848.2	0
HES2	54626
ESPN	83715
AL031848.1	0
TNFRSF25	8718
PLEKHG5	57449
NOL9	79707
TAS1R1	80835
ZBTB48	3104
KLHL21	9903
PHF13	148479
THAP3	90326
DNAJC11	55735
LINC01672	100505887
AL591163.1	0
CAMTA1-DT	110841581
CAMTA1	23261
AL512330.1	0
Z97987.1	0
AL365194.1	0
AL359881.3	0
AL359881.2	0
AL359881.1	0
VAMP3	9341
PER3	8863
Z98884.1	0
UTS2	10911
TNFRSF9	3604
PARK7	11315
AL034417.4	0
AL034417.3	0
ERRFI1	54206
AL034417.2	0
LINC01714	102724539
AL358876.2	0
SLC45A1	50651
RERE	473
AL096855.1	0
AL357552.2	0
ENO1	2023
ENO1-AS1	100505975
CA6	765
SLC2A7	155184
SLC2A5	6518
GPR157	80045
MIR34AHG	106614088
LINC01759	0
H6PD	9563
SPSB1	80176
BX323043.1	0
AL928921.2	0
AL928921.1	0
SLC25A33	84275
TMEM201	199953
PIK3CD	5293
PIK3CD-AS1	644997
PIK3CD-AS2	101929074
CLSTN1	22883
CTNNBIP1	56998
AL357140.1	0
LZIC	84328
NMNAT1	64802
RBP7	116362
UBE4B	10277
KIF1B	23095
AL139424.3	0
AL139424.2	0
PGD	5226
AL139424.1	0
CENPS-CORT	100526739
CENPS	378708
CORT	1325
DFFA	1676
AL354956.1	0
PEX14	5195
CASZ1	54897
AL139423.1	0
C1orf127	148345
TARDBP	23435
AL109811.4	0
MASP2	10747
AL109811.3	0
SRM	6723
EXOSC10	5394
AL109811.1	0
AL109811.2	0
MTOR	2475
MTOR-AS1	100873935
ANGPTL7	10218
UBIAD1	29914
AL031291.1	0
DISP3	57540
LINC01647	101929181
AL031731.1	0
FBXO2	26232
FBXO44	93611
FBXO6	26270
MAD2L2	10459
DRAXIN	374946
AGTRAP	57085
C1orf167	284498
AL953897.1	0
MTHFR	4524
CLCN6	1185
NPPA-AS1	100379251
NPPA	4878
NPPB	4879
KIAA2013	90231
PLOD1	5351
MFN2	9927
MIIP	60672
TNFRSF8	943
TNFRSF1B	7133
VPS13D	55187
AC243836.1	0
DHRS3	9249
AC254633.1	0
AADACL4	343066
AADACL3	126767
C1orf158	93190
PRAMEF12	390999
PRAMEF1	65121
LINC01784	105376745
PRAMEF11	440560
HNRNPCL1	343069
PRAMEF2	65122
PRAMEF4	400735
PRAMEF10	343071
PRAMEF7	441871
PRAMEF6	440561
PRAMEF27	101929983
HNRNPCL3	649330
PRAMEF25	441873
HNRNPCL2	440563
AC245056.1	0
PRAMEF26	645359
HNRNPCL4	101060301
PRAMEF9	343070
PRAMEF13	400736
PRAMEF18	391003
PRAMEF5	343068
PRAMEF8	391002
PRAMEF33	645382
PRAMEF15	653619
AC243961.1	0
PRAMEF14	729528
PRAMEF19	645414
PRAMEF17	391004
PRAMEF20	645425
LRRC38	126755
AL354712.1	0
PDPN	10630
AL359771.1	0
PRDM2	7799
KAZN	23254
AL357873.1	0
KAZN-AS1	105376762
TMEM51-AS1	200197
TMEM51	55092
C1orf195	727684
FHAD1	114827
AL031283.2	0
AL031283.3	0
AL031283.1	0
EFHD2	79180
CTRC	11330
CELA2A	63036
CELA2B	51032
CASP9	842
DNAJC16	23341
AL121992.3	0
AGMAT	79814
AL121992.1	0
DDI2	84301
RSC1A1	6248
AL121992.2	0
PLEKHM2	23207
AL450998.3	0
SLC25A34	284723
SLC25A34-AS1	110806303
TMEM82	388595
FBLIM1	54751
UQCRHL	440567
AL450998.2	0
SPEN	23013
ZBTB17	7709
SRARP	149563
AL355994.3	0
HSPB7	27129
CLCNKA	1187
CLCNKB	1188
FAM131C	348487
EPHA2	1969
AL451042.2	0
AL451042.1	0
ARHGEF19-AS1	0
ARHGEF19	128272
CPLANE2	79363
FBXO42	54455
SZRD1	26099
SPATA21	374955
NECAP2	55707
LINC01772	107984921
AL137802.2	0
AL137802.1	0
LINC01783	100132147
NBPF1	55672
AL137798.1	0
AL137798.2	0
AL021920.1	0
AL021920.3	0
CROCC	9696
BX284668.1	0
BX284668.2	0
BX284668.5	0
BX284668.6	0
MFAP2	4237
AL049569.1	0
ATP13A2	23400
SDHB	6390
PADI2	11240
AL590644.1	0
AL590644.3	0
PADI1	29943
PADI3	51702
PADI4	23569
PADI6	353238
AC004824.1	0
RCC2	55920
ARHGEF10L	55160
AL136529.1	0
ACTL8	81569
AL357509.1	0
LINC01654	101927876
IGSF21	84966
IGSF21-AS1	105376814
AL591896.1	0
KLHDC7A	127707
PAX7	5081
TAS1R2	80834
AL080251.1	0
ALDH4A1	8659
IFFO2	126917
UBR4	23352
AL035413.1	0
EMC1	23065
MRTO4	51154
AKR7A3	22977
AKR7A2	8574
PQLC2	54896
